case,seed,run_dir,selected_k,k_eigengap,k_bandwidth_stability,trustworthiness,continuity,geodesic_consistency,estimated_intrinsic_dim_noisy,k_intrinsic_dim
circle_low_noise,11,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185212_intrinsic_dim_circle_sphere_circle_low_noise_seed11,8,2,8,0.9996701189106253,0.8800000000000001,0.755311845705379,2.20252035321191,3
circle_low_noise,22,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185215_intrinsic_dim_circle_sphere_circle_low_noise_seed22,8,2,8,0.9997135916123258,0.8960000000000002,0.7786662890479152,2.2018906397910913,3
circle_low_noise,33,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185218_intrinsic_dim_circle_sphere_circle_low_noise_seed33,8,2,8,0.9996716532412735,0.8793333333333334,0.8006183016201343,2.153114487347114,3
circle_high_noise,11,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185221_intrinsic_dim_circle_sphere_circle_high_noise_seed11,4,2,4,0.9808786600179005,0.45088888888888884,0.7253879373197409,3.303226831551051,4
circle_high_noise,22,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185225_intrinsic_dim_circle_sphere_circle_high_noise_seed22,4,2,4,0.9812653113412607,0.45444444444444443,0.7538084040446823,3.3141266827134483,4
circle_high_noise,33,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185228_intrinsic_dim_circle_sphere_circle_high_noise_seed33,4,2,4,0.9811793888249585,0.45488888888888884,0.7599741182663421,3.2043054309785486,4
sphere_low_noise,11,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185231_intrinsic_dim_circle_sphere_sphere_low_noise_seed11,12,3,12,0.8471213399820995,0.43577777777777776,0.4933280146590076,2.4443183526215235,3
sphere_low_noise,22,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185234_intrinsic_dim_circle_sphere_sphere_low_noise_seed22,12,3,12,0.8622559774964837,0.4475555555555555,0.4717315992597024,2.4483825961183023,3
sphere_low_noise,33,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185237_intrinsic_dim_circle_sphere_sphere_low_noise_seed33,12,3,12,0.8563810254443166,0.4353333333333334,0.3613002732180164,2.379253391138537,3
sphere_high_noise,11,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185240_intrinsic_dim_circle_sphere_sphere_high_noise_seed11,8,3,8,0.8501495972382048,0.32933333333333337,0.44186953652207417,4.637826764701255,5
sphere_high_noise,22,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185243_intrinsic_dim_circle_sphere_sphere_high_noise_seed22,8,3,8,0.8551013936836722,0.3191111111111111,0.46518885369339685,4.696240679689652,5
sphere_high_noise,33,results/20260302_185211_intrinsic_dim_circle_sphere/runs/20260302_185247_intrinsic_dim_circle_sphere_sphere_high_noise_seed33,8,3,8,0.8524495588799386,0.3122222222222223,0.3382143802836411,4.7017124479264165,5
