case,seed,run_dir,selected_k,k_eigengap,k_bandwidth_stability,trustworthiness,continuity,geodesic_consistency
tau_080,11,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_161931_threshold_sensitivity_circle_tau_080_seed11,6,2,6,0.9924531389847846,0.5811111111111111,0.7479423737818036
tau_080,22,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_161939_threshold_sensitivity_circle_tau_080_seed22,6,2,6,0.9932034266717811,0.5882222222222222,0.7730224361035835
tau_080,33,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_161946_threshold_sensitivity_circle_tau_080_seed33,7,2,7,0.9931497250990922,0.583111111111111,0.7888357232588313
tau_085,11,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_161951_threshold_sensitivity_circle_tau_085_seed11,6,2,6,0.9924531389847846,0.5811111111111111,0.7479423737818036
tau_085,22,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_162001_threshold_sensitivity_circle_tau_085_seed22,6,2,6,0.9932034266717811,0.5882222222222222,0.7730224361035835
tau_085,33,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_162008_threshold_sensitivity_circle_tau_085_seed33,6,2,6,0.9931497250990922,0.583111111111111,0.7888357232588313
tau_090,11,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_162013_threshold_sensitivity_circle_tau_090_seed11,6,2,6,0.9924531389847846,0.5811111111111111,0.7479423737818036
tau_090,22,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_162019_threshold_sensitivity_circle_tau_090_seed22,6,2,6,0.9932034266717811,0.5882222222222222,0.7730224361035835
tau_090,33,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_162023_threshold_sensitivity_circle_tau_090_seed33,6,2,6,0.9931497250990922,0.583111111111111,0.7888357232588313
tau_095,11,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_162028_threshold_sensitivity_circle_tau_095_seed11,6,2,6,0.9924531389847846,0.5811111111111111,0.7479423737818036
tau_095,22,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_162033_threshold_sensitivity_circle_tau_095_seed22,6,2,6,0.9932034266717811,0.5882222222222222,0.7730224361035835
tau_095,33,results/20260303_161930_threshold_sensitivity_circle/runs/20260303_162038_threshold_sensitivity_circle_tau_095_seed33,6,2,6,0.9931497250990922,0.583111111111111,0.7888357232588313
