case,seed,run_dir,selected_k,k_eigengap,k_bandwidth_stability,trustworthiness,continuity,geodesic_consistency,r_estimated_simple,r_estimated_twoscale,k_r_based,known_noise_r
circle_r_0p02_estimated,11,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163008_r_estimation_circle_sphere_circle_r_0p02_estimated_seed11,12,2,8,0.9996701189106253,0.8800000000000001,0.755311845705379,0.0140624430561045,0.006507933408493265,12,0.02
circle_r_0p02_estimated,22,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163014_r_estimation_circle_sphere_circle_r_0p02_estimated_seed22,12,2,8,0.9997135916123258,0.8960000000000002,0.7786662890479152,0.013930711676347646,0.0059379256554349434,12,0.02
circle_r_0p02_estimated,33,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163019_r_estimation_circle_sphere_circle_r_0p02_estimated_seed33,12,2,8,0.9996716532412735,0.8793333333333334,0.8006183016201343,0.013652150631582104,0.005634541756593386,12,0.02
circle_r_0p05_estimated,11,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163024_r_estimation_circle_sphere_circle_r_0p05_estimated_seed11,12,2,6,0.9966188466947961,0.6895555555555556,0.7526961902274701,0.02488919880355381,0.012451333396165453,12,0.05
circle_r_0p05_estimated,22,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163029_r_estimation_circle_sphere_circle_r_0p05_estimated_seed22,12,2,6,0.9971609768571794,0.7155555555555555,0.7767850926759785,0.024047534854029582,0.014155317723668456,12,0.05
circle_r_0p05_estimated,33,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163033_r_estimation_circle_sphere_circle_r_0p05_estimated_seed33,12,2,6,0.9970106124536504,0.7040000000000001,0.7957980709205715,0.024343661981728763,0.012258047174079415,12,0.05
circle_r_0p08_estimated,11,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163039_r_estimation_circle_sphere_circle_r_0p08_estimated_seed11,12,2,6,0.9924531389847846,0.5811111111111111,0.7479423737818036,0.03343078927600745,0.018642373513281747,12,0.08
circle_r_0p08_estimated,22,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163045_r_estimation_circle_sphere_circle_r_0p08_estimated_seed22,12,2,6,0.9932034266717811,0.5882222222222222,0.7730224361035835,0.03142605963492362,0.01948625758249218,12,0.08
circle_r_0p08_estimated,33,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163053_r_estimation_circle_sphere_circle_r_0p08_estimated_seed33,12,2,6,0.9931497250990922,0.583111111111111,0.7888357232588313,0.032792804846962995,0.017369462363693265,12,0.08
circle_r_0p12_estimated,11,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163101_r_estimation_circle_sphere_circle_r_0p12_estimated_seed11,8,2,6,0.9864186165451988,0.5039999999999999,0.738400553557329,0.04325602788892677,0.02575554733256361,8,0.12
circle_r_0p12_estimated,22,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163108_r_estimation_circle_sphere_circle_r_0p12_estimated_seed22,8,2,6,0.9874537782892213,0.5006666666666667,0.7650923684002925,0.042553762256227166,0.02650141373103322,8,0.12
circle_r_0p12_estimated,33,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163115_r_estimation_circle_sphere_circle_r_0p12_estimated_seed33,8,2,6,0.9874128628052679,0.5042222222222222,0.7762702432504106,0.042303292528032166,0.024033915690146918,8,0.12
circle_r_0p16_estimated,11,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163122_r_estimation_circle_sphere_circle_r_0p16_estimated_seed11,5,2,4,0.9808786600179005,0.45088888888888884,0.7253879373197409,0.0529471909750968,0.03352319973839985,5,0.16
circle_r_0p16_estimated,22,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163129_r_estimation_circle_sphere_circle_r_0p16_estimated_seed22,5,2,4,0.9812653113412607,0.45444444444444443,0.7538084040446823,0.051730218889414176,0.03201129557259106,5,0.16
circle_r_0p16_estimated,33,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163136_r_estimation_circle_sphere_circle_r_0p16_estimated_seed33,5,2,4,0.9811793888249585,0.45488888888888884,0.7599741182663421,0.051150317558782854,0.02879378126253712,5,0.16
sphere_r_0p02_estimated,11,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163143_r_estimation_circle_sphere_sphere_r_0p02_estimated_seed11,9,3,12,0.8471213399820995,0.43577777777777776,0.4933280146590076,0.042574628407591145,0.01382809807933179,9,0.02
sphere_r_0p02_estimated,22,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163150_r_estimation_circle_sphere_sphere_r_0p02_estimated_seed22,10,3,12,0.8622559774964837,0.4475555555555555,0.4717315992597024,0.04075066396697999,0.01314513161016122,10,0.02
sphere_r_0p02_estimated,33,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163156_r_estimation_circle_sphere_sphere_r_0p02_estimated_seed33,10,3,12,0.8563810254443166,0.4353333333333334,0.3613002732180164,0.04152858648465258,0.01078723972905188,10,0.02
sphere_r_0p05_estimated,11,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163200_r_estimation_circle_sphere_sphere_r_0p05_estimated_seed11,6,3,12,0.848628564122235,0.4388888888888889,0.48625151012555046,0.053623430165883404,0.030655607441692125,6,0.05
sphere_r_0p05_estimated,22,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163205_r_estimation_circle_sphere_sphere_r_0p05_estimated_seed22,6,3,12,0.8586600179005243,0.4266666666666667,0.47381682322697993,0.05241208784060997,0.0305168532030625,6,0.05
sphere_r_0p05_estimated,33,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163209_r_estimation_circle_sphere_sphere_r_0p05_estimated_seed33,6,3,12,0.8546635980053702,0.42422222222222217,0.3581421210971423,0.05293733742071542,0.02836020789286179,6,0.05
sphere_r_0p08_estimated,11,results/20260303_163008_r_estimation_circle_sphere/runs/20260303_163215_r_estimation_circle_sphere_sphere_r_0p08_estimated_seed11,4,3,10,0.849419767293185,0.4075555555555555,0.4758345850548692,0.066841349418681,0.0432697900968469,4,0.08
